python main_coco2.py --lr 0.003 --lmbd1 100000 --lmbd2 10 --anneal 100
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================COCO========================================
{'n_restarts': 1, 'steps': 2001, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}}
step            loss            train nll       train acc       dir_w           inv_w           test nll        test acc        test prec       test rec     
1630            4.07160         0.31430         0.85460         0.30454         3.45276         0.44197         0.83955         0.84828         0.97619      
1640            5.97803         0.31312         0.85441         0.30738         5.35753         0.43066         0.85303         0.84234         0.98942      
1650            7.31551         0.30500         0.86034         0.29419         6.71633         0.43018         0.85303         0.84234         0.98942      
1660            3.64727         0.31086         0.85525         0.30055         3.03586         0.43749         0.84712         0.84234         0.98942      
1670            0.91097         0.31097         0.85482         0.31368         0.28633         0.41825         0.86652         0.84270         0.99206      
1680            2.27050         0.30824         0.85222         0.31174         1.65052         0.41533         0.86818         0.84305         0.99471      
1690            2.05093         0.31434         0.85212         0.31581         1.42079         0.43724         0.84879         0.84270         0.99206      
1700            1.91243         0.30684         0.86019         0.30550         1.30008         0.41373         0.86818         0.84305         0.99471      
1710            1.43738         0.31009         0.85636         0.30307         0.82422         0.43938         0.84879         0.84270         0.99206      
1720            3.46942         0.31247         0.85921         0.31467         2.84229         0.41337         0.86652         0.84270         0.99206      
1730            3.54448         0.30634         0.85915         0.29971         2.93843         0.41950         0.86061         0.84270         0.99206      
1740            1.06517         0.31065         0.85710         0.30116         0.45336         0.44373         0.85136         0.84510         0.98148      
1750            1.09848         0.30933         0.85828         0.30358         0.48557         0.44453         0.83955         0.84510         0.98148      
1760            7.52079         0.31586         0.85399         0.30386         6.90107         0.43767         0.84712         0.84234         0.98942      
1770            5.11571         0.30677         0.85598         0.29980         4.50915         0.43346         0.86652         0.84270         0.99206      
1780            1.65424         0.31320         0.85552         0.30256         1.03848         0.43458         0.85636         0.84305         0.99471      
1790            1.06309         0.31020         0.85571         0.30016         0.45273         0.44825         0.83197         0.84163         0.98413      
1800            1.89087         0.30974         0.85703         0.30917         1.27197         0.41987         0.87242         0.84270         0.99206      
1810            0.78864         0.30931         0.85679         0.30296         0.17638         0.43203         0.85470         0.84270         0.99206      
1820            3.76533         0.30782         0.85820         0.29836         3.15915         0.39887         0.88000         0.84305         0.99471      
1830            0.79272         0.31116         0.85846         0.30713         0.17443         0.41638         0.86061         0.84270         0.99206      
1840            4.66056         0.30995         0.85546         0.29939         4.05123         0.42062         0.87242         0.84270         0.99206      
1850            9.83973         0.30469         0.85861         0.29283         9.24220         0.41152         0.88000         0.84305         0.99471      
1860            0.72416         0.31162         0.85403         0.30337         0.10917         0.42900         0.85470         0.84270         0.99206      
